Scale, m, n, Algorithm, GCD, Divisions, Time_ns
[100-200],107,27,Euclid,1,3,100
[100-200],107,27,Decremental,1,54,300
[100-200],107,27,Pollard Rho Prime Fact,1,115,8400
[100-200],136,25,Euclid,1,5,100
[100-200],136,25,Decremental,1,50,400
[100-200],136,25,Pollard Rho Prime Fact,1,18,8400
[100-200],144,25,Euclid,1,4,200
[100-200],144,25,Decremental,1,50,500
[100-200],144,25,Pollard Rho Prime Fact,1,118,9200
[100-200],178,78,Euclid,2,5,200
[100-200],178,78,Decremental,2,154,700
[100-200],178,78,Pollard Rho Prime Fact,2,17,4900
[100-200],138,78,Euclid,6,4,100
[100-200],138,78,Decremental,6,146,700
[100-200],138,78,Pollard Rho Prime Fact,6,80,7200
[1000-2000],1295,852,Euclid,1,5,100
[1000-2000],1295,852,Decremental,1,1704,6400
[1000-2000],1295,852,Pollard Rho Prime Fact,1,100,9100
[1000-2000],1667,924,Euclid,1,7,200
[1000-2000],1667,924,Decremental,1,1848,6700
[1000-2000],1667,924,Pollard Rho Prime Fact,1,103,8300
[1000-2000],1114,389,Euclid,1,6,100
[1000-2000],1114,389,Decremental,1,778,2900
[1000-2000],1114,389,Pollard Rho Prime Fact,1,1,3100
[1000-2000],1330,590,Euclid,10,4,100
[1000-2000],1330,590,Decremental,10,1162,4400
[1000-2000],1330,590,Pollard Rho Prime Fact,10,120,9400
[1000-2000],1012,555,Euclid,1,7,200
[1000-2000],1012,555,Decremental,1,1110,4300
[1000-2000],1012,555,Pollard Rho Prime Fact,1,112,11600
[10000-20000],11339,5887,Euclid,29,6,100
[10000-20000],11339,5887,Decremental,29,11718,42000
[10000-20000],11339,5887,Pollard Rho Prime Fact,29,179,8000
[10000-20000],19705,1828,Euclid,1,9,200
[10000-20000],19705,1828,Decremental,1,3656,13300
[10000-20000],19705,1828,Pollard Rho Prime Fact,1,60,6800
[10000-20000],12869,4895,Euclid,1,12,200
[10000-20000],12869,4895,Decremental,1,9790,35100
[10000-20000],12869,4895,Pollard Rho Prime Fact,1,51,5300
[10000-20000],13316,10034,Euclid,2,8,200
[10000-20000],13316,10034,Decremental,2,20066,77500
[10000-20000],13316,10034,Pollard Rho Prime Fact,2,157,9600
[10000-20000],19574,9200,Euclid,2,9,200
[10000-20000],19574,9200,Decremental,2,18398,65800
[10000-20000],19574,9200,Pollard Rho Prime Fact,2,56,11000
